Date,Open,High,Low,Close,Volume
1986-05-31,3.2232,3.26513,3.2232,3.26513,26422238.511268
1986-06-30,3.26513,3.28222,3.06352,3.19796,8007659.6142313
1986-07-31,3.2067,3.2399,2.7101,2.8193,18005830.130956
1986-08-31,2.81105,3.05527,2.76076,3.04634,45589680.048102
1986-09-30,3.02984,3.04634,2.50799,2.70146,16542896.076714
1986-10-31,2.70146,2.76901,2.59205,2.63428,6083707.1828145
1986-11-30,2.62584,2.6763,2.44033,2.59205,17482051.561477
1986-12-31,2.65107,2.97936,2.52459,2.59205,17406004.521607
1987-01-31,2.62584,2.97936,2.54148,2.89491,14760082.79661
1987-02-28,2.92025,3.05527,2.86171,2.99595,15757706.316834
1987-03-31,2.99595,3.26513,2.96228,3.07137,14977768.975696
1987-04-30,3.03818,3.17302,2.57515,2.86967,12646949.606395
1987-05-31,2.86967,3.03818,2.66806,2.85287,14127485.067763
1987-06-30,2.8784,3.24854,2.80241,3.17302,12382690.216068
1987-07-31,3.17302,3.18961,2.912,3.04634,23475909.594373
1987-08-31,3.01285,3.56818,3.01285,3.36638,24043420.303304
1987-09-30,3.3326,3.40016,2.92879,3.01285,32038706.489824
1987-10-31,3.02984,3.05527,2.087,2.26377,25460723.078708
1987-11-30,2.26377,2.4908,2.20504,2.21358,33270673.627246
1987-12-31,2.18815,2.29784,1.94401,2.15446,30295849.473117
1988-01-31,2.20504,2.62584,2.18815,2.60895,18045287.424755
1988-02-29,2.62584,2.84453,2.4742,2.81105,13505797.461909
1988-03-31,2.78561,2.81105,2.38181,2.4908,9363666.5203537
1988-04-30,2.4908,2.66806,2.46586,2.60895,11569463.456339
1988-05-31,2.63428,2.79405,2.54148,2.77707,8212507.0000838
1988-06-30,2.76076,3.18961,2.66806,3.0973,14714914.846684
1988-07-31,3.13039,3.2232,2.92025,2.98761,12856084.057564
1988-08-31,3.07137,3.71981,3.07137,3.442,45840617.968482
1988-09-30,3.442,3.70292,3.43374,3.61886,45446615.281464
1988-10-31,3.61051,3.7365,3.61051,3.67758,17669346.418858
1988-11-30,3.65264,3.71981,3.31609,3.50121,17939766.556256
1988-12-31,3.46723,3.68602,3.46723,3.54295,12173093.454292
1989-01-31,3.56004,3.92191,3.50926,3.89687,18156507.748022
1989-02-28,3.88813,4.41007,3.87153,4.34271,16660751.677322
1989-03-31,4.30882,4.88134,4.27534,4.65391,20270570.650977
1989-04-30,4.65391,4.94861,4.39328,4.77185,27535849.041873
1989-05-31,4.77185,6.2278,4.74651,6.17752,51747039.216718
1989-06-30,6.13519,6.39602,5.9162,5.96688,31100041.828216
1989-07-31,6.00076,7.0525,5.98386,7.0525,36575843.149119
1989-08-31,7.08667,7.2545,6.75809,6.90952,23187883.976628
1989-09-30,6.88418,6.97668,6.56434,6.9597,20978296.908313
1989-10-31,6.92661,6.94321,6.06802,6.26973,30588134.661935
