Date,Open,High,Low,Close,Volume
1970-01-31,0.58756,0.612236,0.524843,0.530989,2461146.2793592
1970-02-28,0.530989,0.56854,0.49968,0.562297,3100664.0439439
1970-03-31,0.562297,0.562297,0.50602,0.5187,2669837.4665268
1970-04-30,0.5187,0.530989,0.468604,0.493437,2400974.9352979
1970-05-31,0.493437,0.5187,0.462333,0.5187,2458914.2935353
1970-06-30,0.5187,0.537231,0.481304,0.481304,1644277.4023274
1970-07-31,0.481304,0.537231,0.449858,0.524843,2557800.3903288
1970-08-31,0.524843,0.58756,0.512457,0.581414,2478752.0030931
1970-09-30,0.581414,0.58756,0.549716,0.555957,2646782.4985787
1970-10-31,0.555957,0.599556,0.549716,0.58756,2473932.2670535
1970-11-30,0.58756,0.637401,0.581414,0.624721,2321574.884701
1970-12-31,0.624721,0.674953,0.618673,0.668807,3251088.8156955
1971-01-31,0.668807,0.674953,0.605993,0.655933,3235109.1505361
1971-02-28,0.655933,0.693582,0.637401,0.680999,2921411.0786242
1971-03-31,0.680999,0.743715,0.680999,0.705872,2641682.8672106
1971-04-30,0.705872,0.787315,0.699825,0.780877,2152910.7800105
1971-05-31,0.780877,0.780877,0.699825,0.718649,1668305.3397504
1971-06-30,0.718649,0.755908,0.687436,0.718649,2591099.732348
1971-07-31,0.718649,0.749568,0.712503,0.718649,1945805.6663706
1971-08-31,0.724793,0.743715,0.655933,0.687436,2641021.5760501
1971-09-30,0.687436,0.731035,0.687436,0.718649,2064565.3567384
1971-10-31,0.718649,0.718649,0.662273,0.705872,2116105.0569541
1971-11-30,0.699825,0.712503,0.643545,0.680999,1868982.0881556
1971-12-31,0.680999,0.755908,0.674953,0.743715,2036401.5301037
1972-01-31,0.743715,0.780877,0.743715,0.774538,2304290.0666
1972-02-29,0.774538,0.787315,0.749568,0.780877,1886908.7175225
1972-03-31,0.780877,0.787315,0.712503,0.731035,2941603.5273163
1972-04-30,0.731035,0.755908,0.712503,0.737375,1726555.3510446
1972-05-31,0.737375,0.787315,0.737375,0.780877,1835053.2379618
1972-06-30,0.780877,0.824768,0.762443,0.799799,3190954.3809083
1972-07-31,0.799799,0.837156,0.768587,0.780877,1732322.4251188
1972-08-31,0.780877,0.937521,0.780877,0.924645,3443490.7099045
1972-09-30,0.924645,0.937521,0.874999,0.930985,1593061.6835174
1972-10-31,0.930985,0.993802,0.924645,0.993802,3676185.2283124
1972-11-30,0.993802,1.0809,0.993802,1.05603,3640996.336512
1972-12-31,1.05603,1.11212,1.03097,1.0809,2886548.2187449
1973-01-31,1.08733,1.21218,1.08733,1.20614,3234457.0866941
1973-02-28,1.20614,1.22477,1.00619,1.04345,4033399.3343591
1973-03-31,1.04345,1.16215,1.00619,1.14986,2476195.0106058
1973-04-30,1.14986,1.21842,1.10606,1.17482,2186197.8189384
1973-05-31,1.17482,1.19979,0.993802,1.0371,3034738.9541573
1973-06-30,1.0371,1.09348,0.999657,1.06266,1691026.0737166
1973-07-31,1.06266,1.0687,0.937521,0.999657,3013638.12722
1973-08-31,0.993802,0.999657,0.856077,0.912258,2234848.3432001
1973-09-30,0.899774,1.00619,0.831205,0.962295,3098763.216329
1973-10-31,0.962295,1.03097,0.893531,0.962295,3328925.3484323
1973-11-30,0.968635,0.999657,0.780877,0.805944,2534443.9966424
1973-12-31,0.799799,0.981021,0.762443,0.981021,4210100.4334795
1974-01-31,0.981021,1.03097,0.799799,0.881048,5263514.6965144
1974-02-28,0.874999,0.874999,0.780877,0.812186,2717228.9744395
1974-03-31,0.799799,0.924645,0.787315,0.831205,4858904.9815245
1974-04-30,0.831205,0.8433,0.780877,0.818624,4026369.1429053
1974-05-31,0.818624,0.893531,0.749568,0.780877,3859288.0359696
1974-06-30,0.780877,0.874999,0.762443,0.780877,3170129.3482689
1974-07-31,0.780877,0.824768,0.724793,0.749568,4793912.876166
1974-08-31,0.749568,0.787315,0.680999,0.724793,3548159.2596364
1974-09-30,0.731035,0.762443,0.643545,0.649788,2963677.3237286
1974-10-31,0.649788,0.762443,0.59351,0.743715,4686040.3963928
1974-11-30,0.755908,0.774538,0.624721,0.637401,3222003.2824665
1974-12-31,0.637401,0.699825,0.612236,0.668807,4064118.1029659
1975-01-31,0.668807,0.793655,0.668807,0.780877,4481171.3696072
1975-02-28,0.799799,0.805944,0.743715,0.780877,3985395.7476513
1975-03-31,0.780877,0.8433,0.737375,0.749568,3653464.4943462
1975-04-30,0.749568,0.799799,0.712503,0.768587,3688355.0361811
1975-05-31,0.768587,0.949713,0.762443,0.930985,4897956.0187538
1975-06-30,0.937521,1.0371,0.937521,0.993802,5307040.9832253
1975-07-31,0.993802,1.03097,0.924645,0.95615,4450143.9984588
1975-08-31,0.95615,0.987361,0.893531,0.943373,3418521.5859925
1975-09-30,0.943373,0.981021,0.924645,0.937521,2323826.3504196
1975-10-31,0.937521,1.03097,0.930985,0.949713,3440920.3890682
1975-11-30,0.949713,0.95615,0.912258,0.930985,2601679.3656587
1975-12-31,0.930985,0.95615,0.849933,0.949713,3963632.6042958
1976-01-31,0.949713,1.04345,0.943373,1.02472,6782619.4221035
1976-02-29,1.02472,1.10606,0.962295,0.987361,7283555.1656266
1976-03-31,0.987361,1.13093,0.968635,1.11885,9293402.5235483
1976-04-30,1.11885,1.21218,1.0687,1.19356,9093972.4884008
1976-05-31,1.19356,1.24964,1.16215,1.2432,7128313.7336081
1976-06-30,1.2432,1.27451,1.20614,1.26837,6303780.03066
1976-07-31,1.26837,1.31225,1.23725,1.26222,6163595.531949
1976-08-31,1.26222,1.30611,1.23725,1.27451,4479273.6177652
1976-09-30,1.27451,1.33127,1.26222,1.27451,5598312.570106
1976-10-31,1.27451,1.27451,1.18107,1.24964,5544863.8402145
1976-11-30,1.24964,1.27451,1.14986,1.24964,6341221.4134366
1976-12-31,1.24964,1.41214,1.2432,1.41214,7579625.9833946
1977-01-31,1.3933,1.50596,1.34317,1.46851,7419284.9200081
1977-02-28,1.46851,1.48694,1.34317,1.38083,5901097.799983
