Date,Open,High,Low,Close,Volume
1999-05-31,60.9525,61.9561,50.5739,54.4872,73627357.260606
1999-06-30,53.4356,57.9467,48.5236,57.9467,28457457.472504
1999-07-31,57.2489,57.2969,50.6816,51.5784,16964649.799017
1999-08-31,51.5305,52.2439,44.3595,48.0807,22883741.780102
1999-09-30,48.6776,51.792,46.1628,49.0304,22676102.961821
1999-10-31,49.0304,59.3913,46.5705,57.1804,25787018.032508
1999-11-30,56.7785,65.5391,55.0114,60.5036,19298517.708028
1999-12-31,60.1978,76.3587,60.1978,75.8599,20695704.902515
2000-01-31,75.8599,76.005,63.1242,73.8949,23772769.256244
2000-02-29,74.8964,75.8079,65.0697,74.5976,22786391.505717
2000-03-31,75.2002,103.228,75.1504,84.8772,42672417.869667
2000-04-30,87.7046,89.3696,64.0612,75.2993,50302856.187438
2000-05-31,75.2993,82.0615,56.016,59.4001,50907642.739072
2000-06-30,60.2068,77.4662,59.4511,76.5302,44672321.288593
2000-07-31,76.2098,86.46,71.3625,79.786,36418835.908844
2000-08-31,80.0397,104.687,78.4198,104.687,64996530.515758
2000-09-30,103.511,108.01,85.4966,92.2089,45524576.733456
2000-10-31,91.4532,94.4856,73.5548,80.7943,66500801.277442
2000-11-30,78.3139,82.2566,62.3256,66.4759,49693326.964141
2000-12-31,66.4759,87.7242,64.954,86.5639,68007131.142271
2001-01-31,84.4842,97.2345,78.9214,92.1706,82042596.518444
2001-02-28,93.1144,96.3044,73.1324,74.3437,72426877.679252
2001-03-31,72.4385,79.0048,65.6361,68.9575,113353288.32288
2001-04-30,68.9575,83.0612,62.3912,73.9086,86251743.128461
2001-05-31,73.0217,85.3133,72.4385,77.1555,65259790.628147
2001-06-30,77.4759,79.6193,68.5556,69.6112,65611808.493821
2001-07-31,69.7347,71.3958,64.9069,67.5678,61366155.148271
2001-08-31,67.8403,71.092,60.978,65.0794,72768156.169011
2001-09-30,64.954,66.1781,51.4069,57.9721,72206448.544859
2001-10-31,57.9811,70.2785,57.685,63.6006,100559471.32616
