Date,Open,High,Low,Close,Volume
1970-01-31,2.70388,2.81922,2.53794,2.58127,1086553.6424076
1970-02-28,2.55946,2.97041,2.55228,2.96314,1101685.3235396
1970-03-31,2.96314,3.05707,2.8481,2.92719,1382543.6162681
1970-04-30,2.92719,2.99193,2.55946,2.59542,1540464.3793693
1970-05-31,2.59542,2.61035,2.06195,2.37937,1118697.0137561
1970-06-30,2.45119,2.58127,2.35767,2.54541,637336.31199106
1970-07-31,2.54541,2.75438,2.42987,2.6965,2398227.9395035
1970-08-31,2.68934,2.76842,2.50169,2.73984,2352798.2884688
1970-09-30,2.73984,2.7973,2.6749,2.70388,1752340.4871123
1970-10-31,2.71076,2.76842,2.61035,2.61035,1271893.8341604
1970-11-30,2.61035,2.71076,2.53794,2.65328,1217069.2270616
1970-12-31,2.68934,2.97768,2.6749,2.94909,1995347.1838328
1971-01-31,2.94909,3.07151,2.73246,2.79014,2512654.025728
1971-02-28,2.79014,2.91992,2.79014,2.81165,1797711.1015867
1971-03-31,2.83366,3.14381,2.83366,3.12898,1899833.1543439
1971-04-30,3.13615,3.18695,2.83366,2.8982,2323503.9400915
1971-05-31,2.8982,2.8982,2.66036,2.71076,2236500.3361337
1971-06-30,2.71076,2.73984,2.49501,2.55946,1372160.3067546
1971-07-31,2.55946,2.61035,2.41543,2.42221,2193949.2263502
1971-08-31,2.42221,2.50906,2.35767,2.45876,3092346.2259294
1971-09-30,2.45876,2.58127,2.41543,2.50169,1938626.2817018
1971-10-31,2.50169,2.55228,2.35767,2.37937,1428903.6020636
1971-11-30,2.37937,2.45876,2.33565,2.42221,2177886.1925857
1971-12-31,2.42221,2.58127,2.39362,2.55228,5529326.5779216
1972-01-31,2.55228,2.6965,2.53067,2.55228,2973183.9825472
1972-02-29,2.55228,2.5738,2.34361,2.45119,3341991.4820702
1972-03-31,2.45119,2.68934,2.44441,2.65328,2593969.7624609
1972-04-30,2.65328,2.65328,2.55228,2.58127,1707878.8320924
1972-05-31,2.58127,2.59542,2.40069,2.45119,1676661.7240178
1972-06-30,2.45119,2.45119,2.22759,2.24213,2707455.3352072
1972-07-31,2.24213,2.27848,2.17778,2.17778,2760400.9510932
1972-08-31,2.17778,2.53794,2.15557,2.51623,4459774.4470132
1972-09-30,2.51623,2.53067,2.27121,2.32141,3446020.008577
1972-10-31,2.32141,2.49501,2.29989,2.37937,2576956.0365009
1972-11-30,2.37937,2.45119,2.32141,2.42221,2818089.849239
1972-12-31,2.42221,2.45119,2.24213,2.37191,3399682.4159595
1973-01-31,2.39362,2.45119,2.19891,2.25677,3715530.0493923
1973-02-28,2.25677,2.29989,2.13425,2.29293,3477238.1345233
1973-03-31,2.29989,2.41543,2.09093,2.18437,3028979.639276
1973-04-30,2.17778,2.19183,1.99691,2.09093,1919708.1177358
1973-05-31,2.09093,2.10537,1.84591,1.99023,2398207.582069
1973-06-30,1.99023,2.00448,1.8742,1.96832,1500776.5427612
1973-07-31,1.96832,2.12699,1.94651,2.11972,1707861.528273
1973-08-31,2.11972,2.12699,1.81712,1.86762,1574519.313826
1973-09-30,1.88186,2.22071,1.88186,2.19183,2240287.8368395
1973-10-31,2.19183,2.24213,2.06195,2.11972,1858216.4508082
1973-11-30,2.11972,2.14143,1.824,1.91066,1725844.2681195
1973-12-31,1.91066,1.92529,1.70886,1.88186,3077200.2945932
1974-01-31,1.88186,2.15557,1.86762,2.05468,1893211.898743
1974-02-28,2.05468,2.13425,1.97579,2.10537,1021308.0645414
1974-03-31,2.10537,2.12699,1.98257,1.99691,1392024.0735574
1974-04-30,1.99691,2.03326,1.81712,1.81712,1057236.9008522
