Date,Open,High,Low,Close,Volume
1999-01-31,0.0401271,0.0447103,0.0355331,0.0362297,1170486322
1999-02-28,0.0362297,0.0502051,0.0330168,0.0419634,865490168
1999-03-31,0.0428759,0.0440182,0.0348559,0.0403518,558492404
1999-04-30,0.0403518,0.0419634,0.0304884,0.0348559,487666494
1999-05-31,0.0353183,0.0408112,0.0314141,0.0325554,682021421
1999-06-30,0.0325554,0.0364567,0.0311834,0.0364567,652320126
1999-07-31,0.0364567,0.044251,0.032785,0.0385123,1033532155
1999-08-31,0.0385123,0.0541092,0.037377,0.0536499,2159964185
1999-09-30,0.0536499,0.0536499,0.0320983,0.0366834,1914069367
1999-10-31,0.0362297,0.0476939,0.0346193,0.04218,2175389847
1999-11-30,0.0414991,0.0848433,0.0414991,0.066251,3603088225
1999-12-31,0.066251,0.0905548,0.066251,0.0896361,1348210630
2000-01-31,0.0903253,0.0921724,0.0669402,0.0708444,1354726262
2000-02-29,0.0708444,0.130455,0.0683281,0.122218,2504160212
2000-03-31,0.122218,0.286661,0.109826,0.16141,4791709456
2000-04-30,0.16004,0.210924,0.108907,0.170354,1773020096
2000-05-31,0.176796,0.225382,0.144223,0.218034,2378118966
2000-06-30,0.224465,0.336437,0.218504,0.242819,4602889773
2000-07-31,0.244684,0.295299,0.191005,0.229306,3977548595
2000-08-31,0.229306,0.315287,0.206332,0.303287,3322389880
2000-09-30,0.309548,0.326203,0.238903,0.312932,3206986098
2000-10-31,0.317057,0.329449,0.20085,0.237565,4829090614
2000-11-30,0.231795,0.305554,0.138963,0.154758,4737631977
2000-12-31,0.164394,0.19399,0.105013,0.125184,7885632999
2001-01-31,0.126112,0.217814,0.108,0.197415,5855859450
2001-02-28,0.197415,0.233202,0.156586,0.170814,6355196741
2001-03-31,0.168748,0.273922,0.152922,0.248059,15787059965
2001-04-30,0.247361,0.343868,0.205652,0.318186,16958579742
2001-05-31,0.319384,0.382168,0.288678,0.327121,15287748375
2001-06-30,0.329449,0.380583,0.316807,0.354452,10989083013
2001-07-31,0.340373,0.346663,0.257036,0.30908,11778369542
2001-08-31,0.315287,0.346663,0.306514,0.323706,16280993529
2001-09-30,0.322788,0.322788,0.1949,0.210008,17605678800
2001-10-31,0.209788,0.385393,0.173103,0.327591,28760697833
