Date,Open,High,Low,Close,Volume
1982-01-31,0.437139,0.469774,0.410966,0.463323,301781876.59461
1982-02-28,0.456754,0.482743,0.443716,0.463323,329015968.18285
1982-03-31,0.463323,0.463323,0.417592,0.424238,381049103.23296
1982-04-30,0.430893,0.489321,0.424238,0.463323,350011667.23997
1982-05-31,0.463323,0.476322,0.443716,0.450158,173917071.01644
1982-06-30,0.450158,0.476322,0.430893,0.463323,218902571.28578
1982-07-31,0.463323,0.522014,0.437139,0.469774,313522991.82156
1982-08-31,0.489321,0.541532,0.450158,0.528455,487160479.46595
1982-09-30,0.522014,0.60682,0.508937,0.587497,510355821.56531
1982-10-31,0.600379,0.67855,0.574323,0.600379,617085203.00488
1982-11-30,0.593645,0.652494,0.580471,0.619898,385749957.31555
1982-12-31,0.639319,0.658933,0.56105,0.587497,414587779.98216
1983-01-31,0.580471,0.626338,0.567588,0.587497,371566454.14043
1983-02-28,0.593645,0.619898,0.574323,0.600379,337586395.16402
1983-03-31,0.613067,0.665472,0.600379,0.652494,365372213.25541
1983-04-30,0.652494,0.724027,0.646052,0.704411,222566153.72037
1983-05-31,0.704411,0.73769,0.665472,0.665472,288929935.74963
1983-06-30,0.665472,0.757013,0.658933,0.757013,340161191.93964
1983-07-31,0.750279,0.769797,0.646052,0.672011,269644642.64827
1983-08-31,0.652494,0.67855,0.593645,0.665472,216853765.01389
1983-09-30,0.665472,0.73769,0.626338,0.691626,267202246.50262
1983-10-31,0.698068,0.776531,0.665472,0.672011,368285432.89024
1983-11-30,0.672011,0.717976,0.646052,0.646052,286465474.02779
1983-12-31,0.646052,0.665472,0.593645,0.626338,332032166.6547
1984-01-31,0.632877,0.68499,0.619898,0.626338,372287415.64095
1984-02-29,0.626338,0.691626,0.613067,0.658933,372029927.56097
1984-03-31,0.658933,0.698068,0.593645,0.600379,419137831.10902
1984-04-30,0.60682,0.619898,0.567588,0.593645,342154817.87607
1984-05-31,0.593645,0.619898,0.548168,0.567588,313419995.56488
1984-06-30,0.567588,0.619898,0.56105,0.587497,235543175.86725
1984-07-31,0.587497,0.593645,0.522014,0.580471,230047806.31411
1984-08-31,0.587497,0.672011,0.587497,0.646052,369525006.13466
1984-09-30,0.639319,0.672011,0.626338,0.632877,253320365.63394
1984-10-31,0.626338,0.698068,0.613067,0.691626,391889026.06259
1984-11-30,0.691626,0.743936,0.68499,0.711437,317388866.63039
1984-12-31,0.711437,0.769797,0.691626,0.769797,231048311.22396
1985-01-31,0.763454,0.763454,0.704411,0.724027,386584930.4412
1985-02-28,0.724027,0.750279,0.691626,0.73769,383178836.08659
1985-03-31,0.743936,0.802393,0.730956,0.78951,377786454.59264
1985-04-30,0.78951,0.828645,0.769797,0.815762,312338588.66574
1985-05-31,0.822009,0.939703,0.796146,0.926431,427711936.7109
1985-06-30,0.933067,0.945754,0.867389,0.913158,315737325.77891
1985-07-31,0.913158,0.991621,0.880954,0.900568,352387848.21269
1985-08-31,0.906815,0.926431,0.87461,0.900568,259411609.23759
1985-09-30,0.900568,0.913158,0.822009,0.880954,294701171.11606
1985-10-31,0.887199,0.913158,0.815762,0.854702,398123750.21985
1985-11-30,0.854702,1.01134,0.854702,1.00499,363231437.36683
1985-12-31,0.998264,1.05711,0.893738,0.952683,450848382.96542
1986-01-31,0.952683,0.998264,0.87461,0.913158,597299611.33776
1986-02-28,0.913158,1.06336,0.913158,1.05057,435874042.94048
1986-03-31,1.05711,1.15469,0.978935,1.14191,430801683.00467
1986-04-30,1.14191,1.22672,1.05057,1.1221,299644780.35142
1986-05-31,1.1221,1.21364,1.09614,1.20047,272410700.03472
1986-06-30,1.20047,1.38324,1.15469,1.36393,352891744.44903
1986-07-31,1.36393,1.38999,1.22028,1.27903,366251329.82968
1986-08-31,1.27903,1.36393,1.26566,1.30499,233258958.36311
1986-09-30,1.30499,1.31143,1.08345,1.11566,431875752.13139
1986-10-31,1.1221,1.18759,1.08345,1.14825,335570673.93551
1986-11-30,1.15469,1.21364,1.1221,1.18125,249498625.05156
1986-12-31,1.17392,1.24624,1.14825,1.18125,319257448.15361
1987-01-31,1.18125,1.35075,1.18125,1.31806,453434235.07222
1987-02-28,1.31143,1.50085,1.30499,1.41594,388916970.01467
1987-03-31,1.41594,1.48123,1.37662,1.40921,432541525.09898
1987-04-30,1.39613,1.4746,1.25931,1.37056,393912106.58191
1987-05-31,1.37056,1.38999,1.19403,1.27903,328129506.66338
1987-06-30,1.28527,1.44853,1.26566,1.40921,325609861.53202
1987-07-31,1.41594,1.48123,1.37662,1.45518,279601775.40635
1987-08-31,1.44853,1.50739,1.39613,1.39613,332208728.15295
1987-09-30,1.39613,1.43557,1.31806,1.36393,326761188.86662
1987-10-31,1.3572,1.37056,0.848358,1.03739,657700866.64919
1987-11-30,1.03104,1.0898,0.906815,0.91999,337453970.96628
1987-12-31,0.933067,1.05711,0.822009,0.926431,548893285.83597
1988-01-31,0.945754,1.0898,0.939703,1.08345,475868139.57163
1988-02-29,1.0898,1.10922,0.998264,1.0898,258330208.48657
1988-03-31,1.08345,1.15469,1.07662,1.10922,381839946.2309
1988-04-30,1.10922,1.20719,1.07662,1.10268,397369686.25629
1988-05-31,1.10268,1.12893,0.978935,1.05711,300880680.09855
1988-06-30,1.06999,1.10268,1.01134,1.04403,290493209.1729
1988-07-31,1.04403,1.06999,1.00499,1.05057,319375129.17728
1988-08-31,1.05711,1.0898,1.02421,1.03739,304470715.73592
1988-09-30,1.03739,1.12893,1.02421,1.11566,250157059.22204
1988-10-31,1.1221,1.23316,1.10268,1.16787,280447787.46821
1988-11-30,1.17392,1.18125,1.1221,1.17392,211748308.76315
1988-12-31,1.17392,1.23316,1.15469,1.20047,239552529.18031
1989-01-31,1.19403,1.21364,1.15469,1.20047,290092254.88491
1989-02-28,1.20047,1.23316,1.12893,1.14825,337593746.25734
1989-03-31,1.16172,1.20047,1.13537,1.20047,263439365.9011
1989-04-30,1.20047,1.29855,1.20047,1.29201,299225461.65104
1989-05-31,1.28527,1.35075,1.26566,1.28527,262780932.7553
1989-06-30,1.28527,1.31806,1.18759,1.20719,411729747.85559
1989-07-31,1.21364,1.38999,1.20719,1.38324,295124182.78276
1989-08-31,1.37662,1.48123,1.33124,1.4746,354201230.95611
1989-09-30,1.48123,1.50085,1.40306,1.45518,327254067.68515
1989-10-31,1.44853,1.48123,1.33777,1.43557,297779891.79452
1989-11-30,1.44853,1.61142,1.41594,1.58546,435149426.38701
1989-12-31,1.58546,1.62478,1.40306,1.48758,417986536.56435
1990-01-31,1.49402,1.55287,1.42903,1.46786,329280805.30679
1990-02-28,1.4746,1.50739,1.17392,1.27248,932101539.61676
1990-03-31,1.27903,1.33777,1.24624,1.31143,518444386.12109
1990-04-30,1.25931,1.29201,1.22028,1.22672,460459772.51154
1990-05-31,1.22672,1.44853,1.18759,1.43557,508303322.32711
1990-06-30,1.44853,1.45518,1.36393,1.39613,358791757.15773
1990-07-31,1.40921,1.66373,1.38999,1.65045,539226748.74433
1990-08-31,1.64451,1.65045,1.41594,1.5595,405498727.93619
1990-09-30,1.55287,1.61142,1.48758,1.55287,289290407.79006
1990-10-31,1.57921,1.7421,1.54633,1.59844,561403161.06501
