Date,Open,High,Low,Close,Volume
2005-02-28,92.7949,93.8716,92.6083,93.0544,169274789
2005-03-31,93.1845,95.0882,89.6961,91.0088,1739966155
2005-04-30,91.5135,92.0177,87.6027,89.312,2162502101
2005-05-31,89.5533,92.7771,88.5715,92.195,1745165973
2005-06-30,92.2321,94.0766,91.6254,91.9566,1433619796
2005-07-31,92.1662,96.1793,91.2504,95.4614,1538095788
2005-08-31,95.5475,96.2757,92.8782,94.5839,1704717192
2005-09-30,94.5265,96.2757,92.9222,94.9255,1667958153
2005-10-31,94.8679,95.1743,90.1839,92.6715,2325411168
2005-11-30,93.0353,98.3313,92.6715,96.7625,1536334657
2005-12-31,97.1656,98.8293,95.9594,96.0739,1391680320
2006-01-31,96.6962,99.8547,95.9878,98.4098,1596848649
2006-02-28,98.7633,100.342,96.7625,98.9173,1484674259
2006-03-31,99.2711,101.424,98.1607,100.181,1754325721
2006-04-30,100.371,101.741,98.783,101.424,1685964984
2006-05-31,101.424,102.468,96.2839,98.4195,2272182220
2006-06-30,98.3127,99.8547,94.3763,98.2,2806937918
2006-07-31,98.3509,98.8589,94.4229,98.6591,2196847378
2006-08-31,98.2941,101.101,97.404,100.794,1842992851
2006-09-30,101.185,103.377,99.8068,103.012,1767885874
2006-10-31,102.983,107.225,102.123,106.323,1876844975
2006-11-30,106.64,108.889,104.64,108.43,1949086647
2006-12-31,108.43,110.517,107.195,109.244,1572314997
2007-01-31,109.763,111.187,108.22,110.9,1743278081
2007-02-28,111.207,112.967,107.225,108.736,1939256328
2007-03-31,107.501,110.948,105.5,109.55,3789031897
2007-04-30,109.674,115.58,108.709,114.402,2327263898
2007-05-31,114.518,118.727,113.933,118.298,3166005001
2007-06-30,118.718,119.141,114.222,116.039,4548486821
2007-07-31,116.413,120.365,111.914,112.412,5169998903
2007-08-31,112.02,116.172,105.702,113.867,8093768866
2007-09-30,113.762,119.131,111.339,117.704,3845771233
2007-10-31,117.724,121.533,114.174,119.313,4990236124
2007-11-30,118.269,118.366,108.526,114.7,7094120776
2007-12-31,114.306,117.943,111.08,112.805,4269325745
2008-01-31,113.052,113.417,97.1557,105.98,7916762120
2008-02-29,106.45,107.721,101.642,103.234,5381213035
2008-03-31,102.715,104.783,97.2129,101.829,7088698144
2008-04-30,103.129,108.489,102.113,106.68,5203694610
2008-05-31,106.793,111.329,106.094,108.304,4730998849
