Date,Open,High,Low,Close,Volume
1990-03-31,0.232103,0.248011,0.232103,0.239947,10227077
1990-04-30,0.239947,0.272142,0.232103,0.272142,75309320
1990-05-31,0.272142,0.384087,0.272142,0.375957,351092863
1990-06-30,0.375957,0.431943,0.344036,0.431943,250985746
1990-07-31,0.423964,0.496227,0.408047,0.472109,157458025
1990-08-31,0.472109,0.472109,0.367996,0.431943,226075944
1990-09-30,0.423964,0.463948,0.360141,0.408047,200226244
1990-10-31,0.416015,0.45615,0.328138,0.439996,228503737
1990-11-30,0.448051,0.520162,0.423964,0.504017,200130255
1990-12-31,0.504017,0.592246,0.487967,0.575912,385729798
1991-01-31,0.575912,0.720079,0.496227,0.680189,375278716
1991-02-28,0.688262,0.840313,0.672306,0.752083,386969715
1991-03-31,0.752083,1.07185,0.736128,0.976218,582604352
1991-04-30,0.976218,1.13615,0.92009,0.98401,513018520
1991-05-31,0.98401,1.24023,0.976218,1.21593,438249130
1991-06-30,1.21593,1.22428,1.06417,1.12009,333754417
1991-07-31,1.12807,1.36028,1.12807,1.24832,323687297
1991-08-31,1.24832,1.37615,1.16008,1.28031,505475201
1991-09-30,1.29617,1.35211,1.00035,1.34415,490188559
1991-10-31,1.34415,1.61632,1.26409,1.59212,137091830
1991-11-30,1.59212,1.61632,1.44824,1.4961,124608936
1991-12-31,1.48831,1.95217,1.48032,1.85614,100267083
1992-01-31,1.84824,2.24807,1.83249,2.0719,138347709
1992-02-29,2.06459,2.32045,1.8,1.99205,184371654
1992-03-31,1.98436,2.09613,1.84019,1.9681,102606880
1992-04-30,1.95217,2.02415,1.70417,1.90427,127500686
1992-05-31,1.95217,2.23194,1.8,2.2081,96283445
1992-06-30,2.18409,2.26423,1.88026,2.06459,125608857
1992-07-31,2.06459,2.35265,2.06459,2.29623,146027036
1992-08-31,2.29623,2.36803,2.10429,2.11998,103782767
1992-09-30,2.1121,2.63214,2.09613,2.49605,126864753
1992-10-31,2.48845,2.7202,2.23194,2.60034,116055674
1992-11-30,2.58429,2.76805,2.48845,2.71213,87710208
1992-12-31,2.71213,2.90442,2.68779,2.83234,76559195
1993-01-31,2.80045,3.33618,2.7202,3.20845,84116523
1993-02-28,3.23227,3.38433,1.99205,2.20013,301877219
