Date,Open,High,Low,Close,Volume
1970-01-31,1.15116,1.17625,1.04554,1.05167,44422059.365886
1970-02-28,1.05167,1.07024,0.927188,1.00839,92723582.819294
1970-03-31,1.00839,1.07657,0.97698,1.06421,106498166.48307
1970-04-30,1.07024,1.07657,0.98962,0.995655,48834311.672013
1970-05-31,0.995655,1.05799,0.951987,1.05799,59205299.538207
1970-06-30,1.05799,1.07657,1.00216,1.02054,50101542.290626
1970-07-31,1.02054,1.15747,0.983401,1.15116,62820920.656216
1970-08-31,1.15116,1.26319,1.12003,1.22604,80764584.983972
1970-09-30,1.22604,1.25716,1.1639,1.24451,58662172.056974
1970-10-31,1.24451,1.31298,1.22604,1.2945,58098348.569881
1970-11-30,1.2945,1.35636,1.23839,1.35032,52103320.192863
1970-12-31,1.35032,1.36919,1.25716,1.36919,76574804.201055
1971-01-31,1.36919,1.36919,1.24451,1.31298,80955981.136135
1971-02-28,1.3193,1.41869,1.30083,1.40031,71169463.405896
1971-03-31,1.39428,1.48735,1.38797,1.48735,65872726.513298
1971-04-30,1.48735,1.53083,1.47481,1.48151,66540013.577355
1971-05-31,1.47481,1.47481,1.38797,1.41276,50660201.801894
1971-06-30,1.41276,1.46246,1.38164,1.40654,52351604.397302
1971-07-31,1.40654,1.48151,1.40031,1.42541,41028856.301008
1971-08-31,1.43153,1.44359,1.2945,1.3193,84571584.773541
1971-09-30,1.3193,1.38164,1.25716,1.33807,50220525.558374
1971-10-31,1.33807,1.39428,1.2945,1.30083,51684383.142575
1971-11-30,1.30083,1.33807,1.25074,1.28215,61786411.363886
1971-12-31,1.28215,1.39428,1.28215,1.37542,56500032.24279
1972-01-31,1.37542,1.45021,1.35636,1.40031,56758670.105648
1972-02-29,1.40031,1.45021,1.39428,1.40654,47313579.403058
1972-03-31,1.40654,1.44359,1.26319,1.30715,88709680.554296
1972-04-30,1.31298,1.33807,1.2945,1.30083,54508589.490098
1972-05-31,1.30083,1.42541,1.2945,1.40031,61884686.286527
1972-06-30,1.40031,1.40031,1.31298,1.38164,57208682.526983
1972-07-31,1.38164,1.45021,1.36317,1.41276,63803711.013449
1972-08-31,1.41276,1.51848,1.39428,1.51235,88652771.936605
1972-09-30,1.51235,1.5247,1.45021,1.51235,52403329.502024
1972-10-31,1.51235,1.58693,1.50593,1.55582,73988495.494887
1972-11-30,1.56213,1.66171,1.56213,1.62428,84933677.987196
1972-12-31,1.6306,1.64918,1.57468,1.6306,53665466.067224
1973-01-31,1.6306,1.77376,1.6306,1.76111,88461376.812712
1973-02-28,1.76763,1.77376,1.6306,1.66171,86480298.001146
1973-03-31,1.66794,1.77376,1.62428,1.75498,84747461.234919
1973-04-30,1.75498,1.92313,1.73641,1.79252,110553463.8446
1973-05-31,1.79252,1.86701,1.69897,1.74886,91218364.071498
1973-06-30,1.74886,1.86079,1.7298,1.8358,53391339.361704
1973-07-31,1.8358,1.8358,1.67416,1.77988,77981736.715232
1973-08-31,1.77988,1.78601,1.61182,1.6553,62588144.831584
1973-09-30,1.64305,1.76763,1.56213,1.7298,56567279.094839
1973-10-31,1.7298,1.81732,1.6306,1.76111,106911979.6601
1973-11-30,1.76111,1.81732,1.61805,1.67416,88094138.132106
1973-12-31,1.66171,1.76763,1.59947,1.75498,61362245.556715
1974-01-31,1.75498,1.85448,1.56836,1.61182,84928530.463703
1974-02-28,1.61182,1.61182,1.47481,1.55582,47489394.16819
1974-03-31,1.55582,1.6553,1.51235,1.51235,56132780.194664
1974-04-30,1.51235,1.51848,1.43153,1.43756,39518480.775282
1974-05-31,1.43756,1.53714,1.30083,1.35032,53768911.135313
1974-06-30,1.35032,1.46869,1.30715,1.30715,44246195.243757
1974-07-31,1.30715,1.44359,1.26319,1.39428,45751419.132906
1974-08-31,1.39428,1.48735,1.23236,1.25074,48379101.341918
1974-09-30,1.25074,1.26319,1.0891,1.09533,54534452.556594
1974-10-31,1.09533,1.3193,1.02054,1.27593,79740412.897728
1974-11-30,1.27593,1.30715,1.08278,1.17012,55894844.50729
1974-12-31,1.1639,1.20115,1.08278,1.20115,61284674.8661
1975-01-31,1.20727,1.39428,1.20727,1.36317,79864585.848071
1975-02-28,1.36317,1.45644,1.33176,1.44359,71557425.855673
1975-03-31,1.44359,1.48151,1.30083,1.37542,57089707.485401
1975-04-30,1.37542,1.50593,1.30715,1.50593,55812102.642955
1975-05-31,1.50593,1.63673,1.48735,1.6306,62515741.201606
1975-06-30,1.64305,1.72396,1.58693,1.72396,78017952.411876
1975-07-31,1.71754,1.71754,1.61805,1.61805,67445206.508933
1975-08-31,1.61805,1.63673,1.56836,1.61805,47044560.11847
1975-09-30,1.61805,1.7298,1.59307,1.6306,45451424.219536
1975-10-31,1.6306,1.74886,1.61805,1.66171,75705794.061456
1975-11-30,1.66171,1.67416,1.56213,1.59947,64605454.763855
1975-12-31,1.59947,1.67416,1.54968,1.6553,57994898.360438
1976-01-31,1.6553,1.7298,1.6553,1.69294,96706469.352949
1976-02-29,1.69294,1.7298,1.58693,1.62428,97994439.164792
1976-03-31,1.62428,1.77376,1.6057,1.74886,104460169.79938
1976-04-30,1.74886,1.79252,1.66794,1.75498,109958610.23038
1976-05-31,1.75498,1.89844,1.73641,1.87956,121550338.53697
1976-06-30,1.87956,1.96661,1.86701,1.94793,104568760.33442
1976-07-31,1.94793,2.02262,1.92916,1.97896,95462463.258028
1976-08-31,1.97896,2.04761,1.86079,1.96661,75625630.07195
1976-09-30,1.96661,2.11589,1.94793,2.0659,85947513.895624
1976-10-31,2.0659,2.07874,1.88569,1.95396,75193724.470666
1976-11-30,1.95396,1.97896,1.76111,1.90427,83123292.124039
1976-12-31,1.90427,2.00375,1.88569,1.99792,95878872.818754
